source,target,weight
gsalhagalvan,researchdeezer,3
researchdeezer,acmrecsys,3
researchdeezer,deezer,4
researchdeezer,gsalhagalvan,3
radekosmulski,nvidia,2
radekosmulski,acmrecsys,5
arushiuw,acmrecsys,4
arushiuw,hannahauptmann,1
icdsuva,sannevrijenhoek,1
alansaid,acmrecsys,13
vanessa_murdock,amazonscience,1
vanessa_murdock,maxharp3r,1
totopampin,amazonscience,1
totopampin,maxharp3r,4
totopampin,vanessa_murdock,1
yhwu_,yusan_lin,1
yhwu_,acmrecsys,1
livaralaivola,criteoailab,3
yusan_lin,acmrecsys,1
rackingroll,amazonscience,1
rackingroll,maxharp3r,1
rackingroll,vanessa_murdock,1
j_neidhardt,drch0le,1
j_neidhardt,totopampin,1
j_neidhardt,hannahauptmann,2
j_neidhardt,acmrecsys,3
j_neidhardt,taoyeah,1
j_neidhardt,ngrams,1
j_neidhardt,christine_bauer,1
j_neidhardt,ssahebi,1
alainstarke,manelslokom,1
alainstarke,christine_bauer,2
alainstarke,acmrecsys,2
acmrecsys,amazon,1
acmrecsys,wayfair,1
acmrecsys,bookingcom,1
acmrecsys,indeed,1
moustaki,consequences_ws,1
netflixresearch,justinbasilico,3
harrieoos,consequences_ws,5
justinbasilico,netflixresearch,3
dalgodoy,consequences_ws,1
arushiuw,stitchfix_algo,1
olivierjeunen,consequences_ws,6
vikasnitr,sharechatapp,1
tahahasanhyder,mihaela_curmei,1
vikasnitr,spotify,1
vikasnitr,hsmcramer,1
vikasnitr,advatainc,1
manelslokom,acmrecsys,116
shapedai,eva_zangerle,2
shapedai,acmrecsys,10
shapedai,manelslokom,2
shapedai,christine_bauer,1
manelslokom,christine_bauer,15
mdekstrand,alansaid,3
chemambochra,acmrecsys,2
feifeim,wang_huazheng,1
rajamifa,max_does_well,1
rajamifa,acmrecsys,29
rajamifa,seattleaquarium,1
reckel,vanessa_murdock,1
reckel,maxharp3r,1
max_does_well,acmrecsys,2
max_does_well,seattleaquarium,1
rajamifa,seguraandres7,4
rajamifa,manelslokom,5
rajamifa,christine_bauer,2
vikasnitr,seattleaquarium,1
seguraandres7,acmrecsys,33
joeeato13510709,acmrecsys,2
pcastells,barrysmyth,2
seguraandres7,nvidia,1
wimlds_paris,manelslokom,1
wimlds_paris,christine_bauer,1
sannevrijenhoek,le__gab,1
sannevrijenhoek,mateomatiss,1
rlerallut,criteoailab,5
hannahauptmann,acmrecsys,5
wimlds_paris,acmrecsys,3
mdekstrand,kanarinka,1
dokydeezer,researchdeezer,3
dokydeezer,gsalhagalvan,1
xbenji,researchdeezer,1
xbenji,gsalhagalvan,1
manelslokom,kanarinka,13
anneliensmets,lienmichiels,3
pcastells,amazonscience,1
pcastells,maxharp3r,1
pcastells,vanessa_murdock,2
zombadin,kanarinka,1
zombadin,juliemontek,1
eva_zangerle,amirrezam95,1
mahashwetadas,visa,2
seguraandres7,kanarinka,2
mahashwetadas,arushiuw,1
mahashwetadas,seguraandres7,1
mahashwetadas,acmrecsys,1
manelslokom,seguraandres7,24
_jefe007_,amazonscience,1
_jefe007_,maxharp3r,1
_jefe007_,vanessa_murdock,1
criteoailab,acmrecsys,5
ayirpelle,amazonscience,1
ayirpelle,maxharp3r,1
ayirpelle,vanessa_murdock,1
amazonscience,maxharp3r,1
amazonscience,vanessa_murdock,2
amazonscience,acmrecsys,7
acmrecsys,kanarinka,1
chanman_econ,aiueola_,2
tedsiwei,mvlacho1,1
tedsiwei,craig_macdonald,2
jcvasnier,acmrecsys,3
poojalipare,acmrecsys,2
happybandits,ylyuliang,2
happybandits,mcwillemsen,2
pedromriocruze1,acmrecsys,5
jeffhancock,informor,2
dowdyb,acmrecsys,5
amirrezam95,eva_zangerle,1
amirrezam95,acmrecsys,1
tommantonela89,informusiccs,1
subhobrata1,seguraandres7,8
subhobrata1,acmrecsys,4
domonkostikk,balazshidasi,1
alainstarke,sfimediafutures,1
alainstarke,uib,1
alainstarke,infomedia_uib,1
alainstarke,profericjohnson,1
gmudocsiraj,acmrecsys,2
pugantsov,seguraandres7,1
pugantsov,acmrecsys,1
pugantsov,asash,1
pugantsov,craig_macdonald,1
dvdgrs,kayaa_mesutt,1
dvdgrs,recsyshr,6
tobml,acmrecsys,1
anamaiahall,acmrecsys,2
abellogin,balazshidasi,1
navatintarev,ylyuliang,1
navatintarev,mcwillemsen,2
abellogin,javiersanzcruza,1
abellogin,craig_macdonald,1
abellogin,asash,1
acmrecsys,cataldomusto,1
eva_zangerle,acmrecsys,3
srahmanidashti,naghiaei,2
srahmanidashti,acmrecsys,1
jy_franceschi,criteoailab,1
jy_franceschi,acmrecsys,1
richardm_,ir_glasgow,1
graham_mcdonald,ir_glasgow,2
graham_mcdonald,mvlacho1,2
graham_mcdonald,craig_macdonald,7
graham_mcdonald,javiersanzcruza,3
graham_mcdonald,asash,3
navatintarev,kayaa_mesutt,1
navatintarev,recsyshr,1
debforit,craig_macdonald,2
debforit,ir_glasgow,2
debforit,acmrecsys,2
christine_bauer,acmrecsys,7
arjenpdevries,harrieoos,1
recsyshr,kayaa_mesutt,1
ir_glasgow,javiersanzcruza,3
ir_glasgow,yashonwu,4
ir_glasgow,craig_macdonald,8
ir_glasgow,iadh,1
ir_glasgow,mvlacho1,4
iadh,craig_macdonald,1
iadh,yashonwu,1
rajamifa,recsys_c,1
graham_mcdonald,seguraandres7,1
graham_mcdonald,acmrecsys,2
graham_mcdonald,yashonwu,3
graham_mcdonald,iadh,1
javiersanzcruza,craig_macdonald,11
javiersanzcruza,ir_glasgow,3
javiersanzcruza,acmrecsys,2
cataldomusto,acmrecsys,6
denadai2,gombru,2
ir_glasgow,acmrecsys,4
yashonwu,craig_macdonald,14
yashonwu,ir_glasgow,4
yashonwu,acmrecsys,4
zejulio,criteoailab,1
alansaid,recsys_c,2
configurationws,appliedswai,1
vanessa_murdock,naghiaei,1
matthiaswillec1,acmrecsys,2
yashardel,naghiaei,2
alexk_z,arushiuw,1
taoyeah,acmrecsys,4
agelesschronicl,acmrecsys,16
drch0le,acmrecsys,14
drch0le,hannahauptmann,6
drch0le,j_neidhardt,5
drch0le,taoyeah,6
drch0le,christine_bauer,5
craig_macdonald,ir_glasgow,4
craig_macdonald,acmrecsys,7
trab_bot,shapedai,1
thecuriousluke,shapedai,1
readtechhere,shapedai,1
eljiwo,shapedai,1
sdgoldie,jengolbeck,1
jandland2,erishabh,1
encodedgeek,seguraandres7,6
encodedgeek,acmrecsys,44
alecmuffett,acmrecsys,2
encodedgeek,shellylu00,1
manelslokom,asash,1
manelslokom,craig_macdonald,2
encodedgeek,kallumadi,1
lostsin44,jengolbeck,1
encodedgeek,yu__ya4,1
shoha99,acmrecsys,1
zombadin,pavelkordik,1
acmrecsys,huawei,3
acmrecsys,homedepot,4
javiersanzcruza,mvlacho1,5
javiersanzcruza,yashonwu,3
yashonwu,javiersanzcruza,6
yashonwu,iadh,1
yashonwu,mvlacho1,4
naghiaei,yashardel,1
naghiaei,srahmanidashti,1
naghiaei,acmrecsys,3
_xiaowang_,craig_macdonald,2
_xiaowang_,yashonwu,1
mvlacho1,craig_macdonald,14
mvlacho1,yashonwu,5
mvlacho1,javiersanzcruza,8
mvlacho1,iadh,3
tekenuko,acmrecsys,1
craig_macdonald,yashonwu,1
craig_macdonald,iadh,1
javiersanzcruza,iadh,2
arbaaz__qureshi,kallumadi,1
arbaaz__qureshi,acmrecsys,1
teramonagi,acmrecsys,1
toinebogers,recsyshr,2
toinebogers,kayaa_mesutt,1
peterpaws,acmrecsys,4
pcastells,javiersanzcruza,4
pcastells,craig_macdonald,4
pcastells,asash,2
pcastells,himan_abd,1
karlhigley,lienmichiels,1
gombru,acmrecsys,4
shapedai,balazshidasi,1
karlhigley,balazshidasi,1
yu__ya4,acmrecsys,2
terrierteam,javiersanzcruza,2
terrierteam,craig_macdonald,2
terrierteam,asash,2
ir_glasgow,seguraandres7,1
ir_glasgow,asash,1
encodedgeek,arushiuw,1
asash,shapedai,1
asash,craig_macdonald,4
deronaucoin,adamlaiacano,1
asash,seguraandres7,1
asash,acmrecsys,1
yashonwu,seguraandres7,1
yashonwu,asash,1
verma22gaurav,srijankedia,1
craig_macdonald,seguraandres7,1
craig_macdonald,asash,5
craig_macdonald,mvlacho1,3
craig_macdonald,javiersanzcruza,5
kwekuoa,acmrecsys,4
kwekuoa,disney,1
kwekuoa,bcg,1
shapedai,craig_macdonald,1
shapedai,asash,1
acompa_,adamlaiacano,1
acmrecsys,disney,1
acmrecsys,bcg,2
acmrecsys,googleai,1
mvlacho1,asash,4
nvidiabryon,acmrecsys,4
javiersanzcruza,asash,2
anncc12,erishabh,2
anncc12,acmrecsys,1
asash,javiersanzcruza,1
burnsmchumprson,jengolbeck,1
zarchasmpgmr,jengolbeck,1
seguraandres7,asash,1
seguraandres7,craig_macdonald,1
_xiaowang_,ir_glasgow,2
_xiaowang_,acmrecsys,1
mounialalmas,acmrecsys,1
acmrecsys,seguraandres7,3
arushiuw,visa,1
fortord,jengolbeck,1
karlhigley,acmrecsys,2
rlerallut,acmrecsys,5
kingand33493259,seguraandres7,1
kingand33493259,acmrecsys,1
paulascharles,erishabh,1
zidane197302142,nvidiaaidev,3
zidane197302142,acmrecsys,1
lwegmeth,lienmichiels,1
somasreemajumd2,erishabh,1
happybandits,manelslokom,1
happybandits,acmrecsys,1
__sudarshan__,netflixresearch,2
kayaa_mesutt,recsyshr,2
pfluffypants,jengolbeck,1
gombru,manelslokom,1
gombru,shutterstock,4
olivierjeunen,lienmichiels,5
gombru,seguraandres7,1
tjaenich,craig_macdonald,1
seguraandres7,lienmichiels,1
manelslokom,bookingcom,5
goethals,lienmichiels,8
ggabbolini,seguraandres7,1
ggabbolini,acmrecsys,1
aldosantiago,nvidiaaidev,1
aldosantiago,acmrecsys,1
manelslokom,lienmichiels,2
nvidiaaidev,acmrecsys,4
lechbielawski1,nvidiaaidev,1
imnickhuber,lienmichiels,1
seguraandres7,gombru,1
seguraandres7,shutterstock,1
manelslokom,shutterstock,2
dvshah,srijankedia,1
gsalhagalvan,acmrecsys,3
gsalhagalvan,ylyuliang,1
gsalhagalvan,mcwillemsen,1
shellylu00,acmrecsys,1
informor,mdekstrand,1
seguraandres7,ggabbolini,2
mounialalmas,spotifyresearch,2
tararootcake,drch0le,1
tararootcake,christine_bauer,1
tararootcake,taoyeah,1
tararootcake,rburke2233,1
kallumadi,acmrecsys,1
radekbartyzal,recombee,1
nom_brownie99,dowdyb,5
anithakotti,acmrecsys,4
kimfalk,alansaid,3
kimfalk,acmrecsys,2
rellaenthia,jengolbeck,1
encodedgeek,ssahebi,2
encodedgeek,peterpaws,6
totopampin,ylyuliang,2
totopampin,mcwillemsen,3
mariehendriksen,harrieoos,1
mariehendriksen,sannevrijenhoek,1
mariehendriksen,le__gab,1
mariehendriksen,dodijk,1
mariehendriksen,mdr,1
emiliagogu,manelslokom,4
mdekstrand,ylyuliang,4
mdekstrand,mcwillemsen,4
alansaid,mcwillemsen,1
alansaid,ylyuliang,1
ylyuliang,mcwillemsen,8
ylyuliang,acmrecsys,6
manelslokom,ylyuliang,7
manelslokom,mcwillemsen,7
drch0le,peterpaws,1
addyaguilera,jengolbeck,1
alexk_z,yu__ya4,1
seguraandres7,gballoccu,1
seguraandres7,mirkomarras,1
seguraandres7,ludovicoboratto,1
ernmander,jengolbeck,1
karsanndevan,drch0le,1
